story_id,entity,type
459,"Benoit De Gryse",PERSON
459,"MSF",ORGANIZATION
1142,"India",LOCATION
1142,"Assam",LOCATION
1142,"Bihar",LOCATION
1142,"Uttar Pradesh",LOCATION
1142,"West Bengal",LOCATION
2436,"India",LOCATION
2436,"Bengal",LOCATION
2436,"West Bengal",LOCATION
1494,"Lebanon",LOCATION
1494,"Arsal",LOCATION
1494,"Beirut",LOCATION
1494,"Arsal",ORGANIZATION
1494,"Daily Star",ORGANIZATION
2519,"El Nino",LOCATION
2519,"Pacific Ocean",LOCATION
2519,"Tumbes",LOCATION
2519,"Peru",LOCATION
2340,"Kashmir",LOCATION
2340,"Pakistan",LOCATION
2340,"Himalayas",LOCATION
2340,"Jammu",LOCATION
2340,"Hill Kaka",PERSON
34,"Ukraine",LOCATION
34,"Fairfax Media",ORGANIZATION
34,"Glenn Thomas",PERSON
34,"Lange",PERSON
34,"Melbourne",LOCATION
34,"WHO",ORGANIZATION
34,"Joep Lange",PERSON
3020,"Washington",LOCATION
3020,"Malaysia Airlines",ORGANIZATION
3020,"US",LOCATION
876,"Garissa",LOCATION
876,"Mandera County",LOCATION
876,"Somalia",LOCATION
876,"Kenya",LOCATION
2060,"Kenya",LOCATION
2060,"Al-Shabab",ORGANIZATION
2353,"Mandera",LOCATION
2353,"Somalia",LOCATION
2353,"Red Cross",ORGANIZATION
2353,"Citizen Television",ORGANIZATION
2353,"Kenya",LOCATION
2353,"Mandera county",LOCATION
659,"Abdullah",PERSON
659,"Independent Election Commission",ORGANIZATION
659,"Zia-ul-Haq Amarkhail",PERSON
659,"Amarkhail",PERSON
659,"Abdullah Abdullah",PERSON
659,"IEC",ORGANIZATION
661,"Afghanistan",LOCATION
661,"Samangan",LOCATION
661,"Hamid Karzai",PERSON
3200,"Karzai",PERSON
3200,"Hamid Karzai",PERSON
3200,"Kandahar",LOCATION
3200,"Afghanistan",LOCATION
905,"Grand Mosque",LOCATION
905,"Kano",LOCATION
905,"Nigeria",LOCATION
1481,"Boko Haram",PERSON
1481,"Abia",LOCATION
177,"Mogadishu",LOCATION
177,"al-Shebaab",PERSON
177,"Abdiaziz Abu Musab",PERSON
177,"Somalia",LOCATION
177,"Shebab",ORGANIZATION
1459,"Mogadishu",LOCATION
1459,"Keysansey",LOCATION
1459,"Somali Red Crescent Society",ORGANIZATION
1459,"Somalia",LOCATION
2967,"AMISOM",ORGANIZATION
2967,"Jilibin Somalia",LOCATION
2967,"Abdulaziz Abu Musab",PERSON
2967,"Middle Juba",LOCATION
2967,"Agence France Presse",ORGANIZATION
3442,"Mogadishu",LOCATION
3442,"AMISOM",ORGANIZATION
3442,"al-Shebaab",PERSON
3442,"UN",ORGANIZATION
3442,"Somalia",LOCATION
3671,"AMISOM",ORGANIZATION
3671,"Abdi Fatah",PERSON
3671,"Al Jazeera",ORGANIZATION
3671,"Ali Houmed",PERSON
3671,"Marka",LOCATION
3671,"Ali",PERSON
3671,"African Union",LOCATION
38,"Guangdong",LOCATION
38,"China",LOCATION
38,"National Meteorological Centre",ORGANIZATION
38,"Xinhua",ORGANIZATION
38,"Hainan",LOCATION
38,"Philippines",LOCATION
1183,"Africa",LOCATION
1183,"Washington",LOCATION
1183,"US",LOCATION
1183,"United States",LOCATION
1183,"Rajiv Shah",PERSON
1183,"Power Africa",ORGANIZATION
1183,"Barack Obama",PERSON
2415,"China",LOCATION
2415,"Rammasun",PERSON
2415,"Vietnam News Agency",ORGANIZATION
2415,"Vietnam",LOCATION
3397,"Ban Ki-moon",PERSON
3397,"UN",ORGANIZATION
3397,"US",LOCATION
988,"National Meteorological Center",ORGANIZATION
988,"Xinhua",ORGANIZATION
988,"China",LOCATION
988,"Guangxi",LOCATION
988,"Hainan",LOCATION
988,"Philippines",LOCATION
988,"Rammasun",PERSON
1122,"Jiangxi",LOCATION
1122,"Shandong",LOCATION
1122,"Guangdong",LOCATION
1122,"China",LOCATION
1122,"Guangxi Zhuang Autonomous Region",LOCATION
1122,"Matmo",PERSON
1122,"Hainan",LOCATION
1122,"Zhejiang",LOCATION
1122,"Rammasun",PERSON
1122,"Anhui",LOCATION
1122,"Fujian",LOCATION
1122,"Ministry of Civil Affairs",ORGANIZATION
1122,"Yunnan",LOCATION
3022,"NMC",ORGANIZATION
3022,"Typhoon Matmo",PERSON
3022,"China",LOCATION
3022,"National Meteorological Centre",ORGANIZATION
3022,"Guangxi",LOCATION
3022,"Hainan",LOCATION
3022,"Rammasun",PERSON
3022,"Ministry of Civil Affairs",ORGANIZATION
3022,"Yunnan",LOCATION
1381,"Venezuela",LOCATION
1381,"Committee on Social Development",ORGANIZATION
1381,"National Assembly",ORGANIZATION
1540,"India",LOCATION
1540,"Garo National Liberation Army",ORGANIZATION
1540,"Garo Hills",LOCATION
1540,"Lakardor Syiem",PERSON
1540,"Meghalaya",LOCATION
1540,"AFP",ORGANIZATION
106,"Benigno Aquino",PERSON
106,"Philippines",LOCATION
106,"Haiyan",PERSON
106,"Tacloban",LOCATION
106,"Leyte province",LOCATION
595,"E. Rammasun",PERSON
595,"Philippines",LOCATION
595,"Air Force Joint Typhoon Warning Center",ORGANIZATION
595,"US Navy",ORGANIZATION
1412,"Philippines",LOCATION
1412,"Manila",LOCATION
1768,"Albay province",LOCATION
1768,"Joey Salceda",PERSON
1768,"Philippines",LOCATION
1768,"Reuters",ORGANIZATION
1768,"Typhoon Rammasun",PERSON
1768,"Albay",LOCATION
2026,"Luzon Island",LOCATION
2026,"Haiyan",PERSON
2026,"Philippines",LOCATION
2026,"Manila",LOCATION
2026,"Albay",LOCATION
2026,"Sorsogon",LOCATION
